,Address,latitude,longitude
0,"8402 Mayview Drive Austin, Texas",30.2998731,-97.6244907
1,"7201 Levander Loop Austin, Texas",30.2527847,-97.6904186
2,"5411 Overbrook Dr Austin, Texas",30.3014622,-97.6830242
3,"11912 Jones Road Austin, Texas",30.2255749,-97.8038878
4,"Briar Creek Loop And Great Valley Dr Austin, Texas",30.3243993,-97.5292707
5,"11410 Jim Thorte Austin, Texas",30.1522049,-97.8406838
6,"8407 Coulver Rd Austin, Texas",30.1173239,-97.7266788
7,"7920 Old Lockhart Austin, Texas",30.0587472,-97.7044007
8,"West Anderson Lane And Shoal Creek Blvd Austin, Texas",30.3609725,-97.74088309999999
9,"1009 Brass Street Austin, Texas",30.2643141,-97.70393179999999
10,"3017 Ih 35 Austin, Texas",30.2260247,-97.74434389999999
11,"22208 Ann Showers Austin, Texas",30.271325,-97.4663029
12,"7131 Oak Hollow Dr Austin, Texas",30.37146389999999,-97.705423
13,"403 E Ben White Blvd Austin, Texas",30.2198188,-97.76100339999999
14,"1001 Collinwood West Drive Austin, Texas",30.3697917,-97.6748198
15,"1050Bastrop Hwy Ne Austin, Texas",30.229066,-97.681179
16,"183 And Lake Creek Pkwy Austin, Texas",30.4607344,-97.7972644
17,"7601 Daffan Lane Austin, Texas",30.3160645,-97.62482969999999
18,"1930 West Rundberg Austin, Texas",30.3737164,-97.71756959999999
19,"15232 N Interstate Hwy 35 Austin, Texas",30.4468167,-97.66801530000001
20,"15004 Chamberlaint Court Austin, Texas",30.2538353,-97.57959609999999
21,"8416 Sassman Road Austin, Texas",30.1357199,-97.7150455
22,"16401 Parkway Drive Austin, Texas",30.2829713,-97.7544112
23,"Outside Jurisdiction Austin, Texas",30.267153,-97.7430608
24,"Braker Ln Austin, Texas",30.3903915,-97.7152524
25,"Lareina St And Garnett St Austin, Texas",30.2185687,-97.7702774
26,"Georgian Dr (Near Ahs) Austin, Texas",30.360886,-97.6933747
27,"1001 Tayside Drive Austin, Texas",30.4133295,-97.64707609999999
28,"11825 Savanna Canyon Austin, Texas",30.1602342,-97.64169389999999
29,"4505 Sherwyn Dr Austin, Texas",30.2809332,-97.6619533
30,"3111 Parker Lane Austin, Texas",30.22451,-97.74210699999999
31,"811 West Slaughter Lane Austin, Texas",30.1703989,-97.80429409999999
32,"Bolm And Shady Ln Austin, Texas",30.259782,-97.6933244
33,"5800 Techni Center Dr Austin, Texas",30.2787646,-97.67184759999999
34,"6266 Hwy 290 W Austin, Texas",30.3213724,-97.6943011
35,"Outside Jurisdiction Austin, Texas",30.267153,-97.7430608
36,"5607 Apple Orchard Lane Austin, Texas",30.1986136,-97.72785809999999
37,"William Cannon And South 1St Austin, Texas",30.1971751,-97.7877664
38,"9329 Northgate Bld Austin, Texas",30.3732431,-97.7142182
39,"1401 Cometa St Austin, Texas",30.2806944,-97.6896817
40,"844 Airport Blvd Austin, Texas",30.2584131,-97.6938377
41,"Salt Springs And Tupelo Drive Austin, Texas",30.1627674,-97.743318
42,"6003 Caroline Ln Austin, Texas",30.2583016,-97.5736845
43,"51St And Manor Rd Austin, Texas",30.2981358,-97.6870582
44,"6937 North Ih35 Austin, Texas",30.331041,-97.7040339
45,"11913 Elfcroft Dr Austin, Texas",30.3961684,-97.6908691
46,"1707 Raven Austin, Texas",30.3263551,-97.68382989999999
47,"8300 N Ih 35 Austin, Texas",30.3460048,-97.6971094
48,"Pflugerville (TX) Austin, Texas",30.4548451,-97.6222665
49,"5703 Imperial Dr Austin, Texas",30.2770152,-97.62052949999999
50,"Berkman And Glen Crest Austin, Texas",30.316956,-97.69078499999999
51,"17832 Violet Lane Austin, Texas",30.267153,-97.7430608
52,"5017 West Highway 290 Austin, Texas",30.2320669,-97.8230076
53,"19804 Grover Cleveland Way Austin, Texas",30.35433,-97.5060486
54,"6802 Dubuque Lane Austin, Texas",30.3139959,-97.670135
55,"4501 East Riverside Drive Austin, Texas",30.2315817,-97.7223212
56,"10625 N Lamar Blvd Austin, Texas",30.3754255,-97.6893637
57,"9400 West Parmer Lane Austin, Texas",30.4799954,-97.764219
58,"5616 Signal Point Austin, Texas",30.2884675,-97.64724559999999
59,"3115 S 1St St Austin, Texas",30.2332351,-97.7648028
60,"Bahan Drive Austin, Texas",30.1741092,-97.6163857
61,"12202 North Mopac Austin, Texas",30.4149585,-97.7083431
62,"11123 Old Lockhart Austin, Texas",30.1201551,-97.7490124
63,"8224 Research Blvd #244 Austin, Texas",30.3551153,-97.7154555
64,"Loyola And Decker Rd Austin, Texas",30.2912881,-97.62793470000001
65,"12034 Research Austin, Texas",30.42535759999999,-97.7529038
66,"1733 Dapplegrey Lane Austin, Texas",30.4143058,-97.68756139999999
67,"7314 Gaines Mill Ln Austin, Texas",30.1985256,-97.81017720000001
68,"6940 Chinook Dr Austin, Texas",30.2421322,-97.8871698
69,"Pflugerville (TX) Austin, Texas",30.4548451,-97.6222665
70,"5009 Copperbend Austin, Texas",30.1962114,-97.7404608
71,"4434 Frontier Trail Austin, Texas",30.23144,-97.795757
72,"Tuscana Avenue And Sendero Hills Austin, Texas",30.2937582,-97.6459953
73,"Del Valle (TX) Austin, Texas",30.2091069,-97.6472349
74,"3421 Hovenweep Ave Austin, Texas",30.2002576,-97.69307429999999
75,"Windrift/ Echo Ln Austin, Texas",30.1995864,-97.7982937
76,"4801 Lott Austin, Texas",30.2769942,-97.68538819999999
77,"South 1St And Gibson Austin, Texas",30.25154419999999,-97.7543003
78,"9315 Northgate Blvd Unit 227 Austin, Texas",30.3723341,-97.71483339999999
79,"1616 East Oltorf Austin, Texas",30.233502,-97.739665
80,"13807 Fm 812 Austin, Texas",30.1213841,-97.6371379
81,"10308 Littlepebble Austin, Texas",30.3813881,-97.7115669
82,"Slaughter/ Ih 35 Austin, Texas",30.1669935,-97.7869383
83,"290 And Old Kimbo Rd Austin, Texas",32.797564,-97.2983046
84,"North Loop And Guadlupe Austin, Texas",30.3199387,-97.72696839999999
85,"Salt Springs & William Cannon Austin, Texas",30.1689904,-97.73832639999999
86,"5901 E Stassney Austin, Texas",30.19015349999999,-97.7326315
87,"907 Bird Creek Dr Austin, Texas",30.3709241,-97.6970185
88,"Colony Loop Austin, Texas",30.2988363,-97.6297427
89,"Pecan And Sarah'S Creek Austin, Texas",30.4435144,-97.65684549999999
90,"300 S Lamar Austin, Texas",30.2628548,-97.75856259999999
91,"Montopolis Dr And Marigold Terrace Austin, Texas",30.2300634,-97.70019909999999
92,"1925 Rutland Dr Austin, Texas",30.3789453,-97.71331939999999
93,"19000 Limestone Commercial Dr Austin, Texas",30.471885,-97.59702109999999
94,"Elm Grove Road And Williamson Road Austin, Texas",30.0362403,-97.7090293
95,"6018 Ponca St Austin, Texas",30.2391722,-97.6980363
96,"1156 West Cesar Chavez Austin, Texas",30.269764,-97.7591144
97,"44Th And Rosedale Austin, Texas",30.3144092,-97.7433559
98,"5202 Berkman Dr Austin, Texas",30.3055446,-97.69812119999999
99,"12505 Pintail Cv. Austin, Texas",30.4477813,-97.7733149
100,"6800 Austin Center Boulevard Austin, Texas",30.3496688,-97.75088199999999
101,"Outside Jurisdiction Austin, Texas",30.267153,-97.7430608
102,"6308 Decker Lane Austin, Texas",30.2885307,-97.63044359999999
103,"6504 Bridge Point Pwky Austin, Texas",30.3554977,-97.8027225
104,"501 Strichen Drive Austin, Texas",30.4144801,-98.04033890000001
105,"14709 Reynero Ln Austin, Texas",30.0886614,-97.643103
106,"Manor (TX) Austin, Texas",30.3407629,-97.55694559999999
107,"6913 La Salle Dr Austin, Texas",30.3158964,-97.66826970000001
108,"10230 Lindshire Lane Austin, Texas",30.1740877,-97.8415266
109,"4402 Nixon Ln Austin, Texas",30.2724136,-97.6506361
110,"901 W Ben White Austin, Texas",30.2261149,-97.7745674
111,"1611 E. Pfennig Ln Austin, Texas",30.4504254,-97.60832959999999
112,"Braker Lane Austin, Texas",30.3903915,-97.7152524
113,"7802 Rutgers Ave Austin, Texas",30.3519279,-97.72619139999999
114,"5708 Sunny Vista Drive Austin, Texas",30.2049524,-97.873684
115,"12034 Research Austin, Texas",30.42535759999999,-97.7529038
116,"14730 N Ih 35 Austin, Texas",30.4395595,-97.6700614
117,"12405 St Mary Dr Austin, Texas",30.1342162,-97.76349789999999
118,"East Riverside Drive At Wickersham Lane Austin, Texas",30.2323033,-97.7203892
119,"4720 Winnebago Ln Austin, Texas",30.20863019999999,-97.7339045
120,"10601 Mourning Dove Dr Austin, Texas",30.4491013,-97.8080957
121,"6915 Vassar Drive Austin, Texas",30.3162994,-97.6690328
122,"2319 Greenfield Pkwy Austin, Texas",30.2319514,-97.73806309999999
123,"Shenandoah And Rutherford Ln Austin, Texas",30.3390233,-97.6868597
124,"502 East Oltorf Austin, Texas",30.2376301,-97.7510465
125,"85 Trinity St Austin, Texas",30.2612894,-97.7407578
126,"6203 Hylawn Drive Austin, Texas",30.3068413,-97.67225479999999
127,"2110 W Slaughter Ln Austin, Texas",30.1742917,-97.82581119999999
128,"1156 W Cesar Chavez Austin, Texas",30.269764,-97.7591144
129,"6518 Pevensy Dr Austin, Texas",30.19927079999999,-97.7878791
130,"5401 E Mlk Austin, Texas",30.285888,-97.67369629999999
131,"N Fm 620 Road Austin, Texas",30.4486406,-97.830602
132,"6700 West Gate Boulevard Austin, Texas",30.2100142,-97.8147438
133,"3005 Crownover Austin, Texas",30.2280866,-97.5893773
134,"E Martin Luther King Jr Blvd & Chestnut Ave Austin, Texas",30.2804388,-97.71728089999999
135,"Garland Ave Austin, Texas",30.270578,-97.6849022
136,"19600 Woodrow Wilson Austin, Texas",30.267153,-97.7430608
137,"Travis (TX) Austin, Texas",30.267153,-97.7430608
138,"132 Eberhardt Ln Austin, Texas",30.1977462,-97.7784736
139,"East Riverside Drive And Thrasher Lane Austin, Texas",30.2233281,-97.6997584
140,"Thaxton Rd And Sassman Rd Austin, Texas",30.14227949999999,-97.7293205
141,"Galleria Circle Austin, Texas",30.309171,-97.9376578
142,"Outside Jurisdiction Austin, Texas",30.267153,-97.7430608
143,"24Th/ Longview Austin, Texas",30.2883586,-97.75045550000002
144,"707 Huerta Street Austin, Texas",30.2379131,-97.76410229999999
145,"Hidden W Blvd Austin, Texas",30.2876669,-97.6358506
146,"1900 A Barge Austin, Texas",30.2049922,-97.80429409999999
147,"5700 Cameron Rd Austin, Texas",30.31587979999999,-97.7026977
148,"Braker And Hornsby Austin, Texas",30.380667,-97.6842544
149,"7000 Decker Ln Austin, Texas",30.296695,-97.6256135
150,"14608 Fuchs Grove Rd. Austin, Texas",30.3826085,-97.5575406
151,"305 S.  Congress Ave Austin, Texas",30.2586733,-97.74447119999999
152,"1400 Estrellas Dr Austin, Texas",30.2232617,-97.6706437
153,"4434 Frontier Trail Austin, Texas",30.23144,-97.795757
154,"20902 Jumpers Delight Austin, Texas",30.4931666,-97.5775638
155,"7206 Eganhill Austin, Texas",30.2055771,-97.8196507
156,"Highway 71 And Fm 973 Austin, Texas",30.2032391,-97.6393512
157,"8709 Fm 969 Austin, Texas",30.2752126,-97.636015
158,"2315 E 10Th St Austin, Texas",30.2648115,-97.7162015
159,"601 N Lamar Austin, Texas",30.2717659,-97.7532992
160,"Riverside And Pleasant Valley Austin, Texas",30.234143,-97.7228689
161,"Carl Rd And Old Lockhart Rd Austin, Texas",30.1154232,-97.7471441
162,"Belfast/Briarcliff Austin, Texas",30.3151578,-97.694727
163,"4901 Oldfort Hill Austin, Texas",30.2895953,-97.6731027
164,"Richardson Lane Austin, Texas",30.2365254,-97.6968159
165,"3226 W Slaughter Ln Austin, Texas",30.1833749,-97.844083
166,"8028 Gessner Dr Austin, Texas",30.3445202,-97.7026381
167,"1100 Shady Ln Austin, Texas",30.2599245,-97.6935197
168,"11713 Arrowmound Pass Austin, Texas",30.1537297,-97.6494494
169,"1800 East Stassney Lane Austin, Texas",30.1973155,-97.7600483
170,"8900 Parkfield Drive Austin, Texas",30.3623807,-97.7098278
171,"1110 West 6Th Street Austin, Texas",30.2724945,-97.75573990000001
172,"11441 N Ih 35 Austin, Texas",30.3781005,-97.6724244
173,"Del Valle (TX) Austin, Texas",30.2091069,-97.6472349
174,"7811 Burleson Manor Rd Austin, Texas",30.2663089,-97.5225881
175,"Little Hill Top Circle Austin, Texas",30.3821001,-97.6801774
176,"10008 Capitol View Dr Austin, Texas",30.1375052,-97.75319309999999
177,"2500 W Parmer Ln Austin, Texas",30.4220078,-97.7022887
178,"Fm 1431 Austin, Texas",30.5769603,-98.1279602
179,"Travis (TX) Austin, Texas",30.267153,-97.7430608
180,"Ptarmigan Drive And Bittern Hollow Austin, Texas",30.395498,-97.6962537
181,"5400 W Parmer Ln Austin, Texas",30.4365311,-97.7334802
182,"1610 Westmor Drive Austin, Texas",30.30742789999999,-97.6973153
183,"Austin Colony Neighborhood Austin, Texas",30.2291609,-97.59275149999999
184,"Del Valle (TX) Austin, Texas",30.2091069,-97.6472349
185,"13252 George Bush Street Austin, Texas",30.3525683,-97.5261627
186,"Mt Vernon Dr & Redd St Austin, Texas",30.2217828,-97.77873609999999
187,"1301 Crossing Pl Austin, Texas",30.2353162,-97.71076219999999
188,"11409 Rustic Rock Drive Austin, Texas",30.4322443,-97.780724
189,"Smith Oak Trail And Old Fredericksberg Austin, Texas",30.23395549999999,-97.8485731
190,"7509 East Martin Luther King Junior Boulevard Austin, Texas",30.2855457,-97.6647957
191,"2014 Encino Circle Austin, Texas",30.2838667,-97.7035076
192,"Sautelle Lane And Mesa Grande Austin, Texas",30.2065661,-97.8788424
193,"Springdale And Manor Austin, Texas",30.3086925,-97.66912029999999
194,"4313 Acropolis Court Austin, Texas",30.4128099,-97.73104029999999
195,"4700 E Riverside Dr Austin, Texas",30.2335221,-97.71752719999999
196,"5211 Eilers Austin, Texas",30.3145973,-97.7158303
197,"Bennett Ave & E St Johns Ave Austin, Texas",30.3311138,-97.70038869999999
198,"Burleson Rd And Colton Rd Austin, Texas",30.1813974,-97.685893
199,"East 7Th Street Austin, Texas",30.2617417,-97.7187189
200,"7920 Old Lockhart Austin, Texas",30.0587472,-97.7044007
201,"Airport Boulevard And Lamar Boulevard Austin, Texas",30.337577,-97.7188216
202,"71 And Riverside Dr Austin, Texas",30.25715,-97.74685749999999
203,"2905 Prado St Austin, Texas",30.2612799,-97.70753719999999
204,"5006 Emerald Forest Austin, Texas",30.2169798,-97.78301359999999
205,"8300 Furness Drive Austin, Texas",30.3430029,-97.690021
206,"Hwy 290 And 183 Austin, Texas",30.2404087,-97.6903506
207,"Manchaca Road And West William Cannon Drive Austin, Texas",30.202829,-97.80688339999999
208,"6812 Felipe Dr Austin, Texas",30.1546553,-97.738339
209,"7917 Brockman St Austin, Texas",30.3569869,-97.7293325
210,"8302 Garcreek Circle Austin, Texas",30.2939387,-97.6302529
211,"7010 Texas 71 Austin, Texas",30.2359738,-97.8756465
212,"2324 Bitter Creek Austin, Texas",30.1828057,-97.75875359999999
213,"3235 E Martin Luther King Jr Blvd Austin, Texas",30.2824587,-97.70232
214,"Outside Jurisdiction Austin, Texas",30.267153,-97.7430608
215,"106 Cloudview Austin, Texas",30.1895951,-97.7810425
216,"9322 Fm 812 Austin, Texas",30.1600079,-97.6831514
217,"900 Broken Feather Austin, Texas",30.4362837,-97.6401683
218,"4509 E St Elmo Austin, Texas",30.2036758,-97.7401136
219,"7201 Levander Loop Austin, Texas",30.2527847,-97.6904186
220,"5703 Tura Ln Austin, Texas",30.2672781,-97.6801833
221,"Gilbert Rd Austin, Texas",30.2655121,-97.5889668
222,"Ross Road And Highway 71 Austin, Texas",30.1864188,-97.60953789999999
223,"2500 Montopolis Dr Austin, Texas",30.2200059,-97.7089158
224,"11025 Doyle Overton Road Austin, Texas",30.08097159999999,-97.6297445
225,"17112 Rockridge Austin, Texas",30.4215956,-97.9441444
226,"815 W Slaughter Ln Austin, Texas",30.1732201,-97.8065878
227,"9300 Northgate Apt 219 Austin, Texas",30.3734264,-97.71566059999999
228,"12909 Fm 969 Austin, Texas",30.2526247,-97.60180199999999
229,"1721 Long Rifle Drive Austin, Texas",30.37757179999999,-97.65551029999999
230,"Outside Jurisdiction Austin, Texas",30.267153,-97.7430608
231,"12012 Crow Lane Austin, Texas",30.1974263,-97.77078979999999
232,"S Capital Of Texas Hwy And S Mopac Expy Austin, Texas",30.39007359999999,-97.73495679999999
233,"5516 Alomar Cove Austin, Texas",30.1723422,-97.6185172
234,"1410 Ruth Austin, Texas",30.267153,-97.7430608
235,"1156 W Cesar Chavez St Austin, Texas",30.269764,-97.7591144
236,"1401 Meander Austin, Texas",30.2787612,-97.68008789999999
237,"2001 Guadalupe St Austin, Texas",30.2828889,-97.74148989999999
238,"600 Boulder Bluff Austin, Texas",30.267153,-97.7430608
239,"504 Horsethief Trail Austin, Texas",30.1207756,-97.8319744
240,"1300 Fort Branch Austin, Texas",30.2767301,-97.6805437
241,"811 W St Johns Austin, Texas",30.3391567,-97.7191817
242,"8403 Saber Creek Trl Austin, Texas",30.42091619999999,-97.78728459999999
243,"E Riverside Dr & S Pleasant Valley Rd Austin, Texas",30.234143,-97.7228689
244,"5400 Ross Road Austin, Texas",30.174399,-97.62314889999999
245,"183 Braker Austin, Texas",30.3789454,-97.6820233
246,"2617 Corabella Austin, Texas",30.4635489,-97.8459961
247,"8509 Fm 969 Austin, Texas",30.2730809,-97.63883349999999
248,"Ih-35 & Cesar Chavez Austin, Texas",30.2612203,-97.7367715
249,"12501 Tech Ridge Blvd Austin, Texas",30.3980944,-97.6615506
250,"9210 Northgate Blvd #118 Austin, Texas",30.3717852,-97.7161697
251,"1811 W 36Th St Austin, Texas",30.3090288,-97.7533735
252,"7603 Clydesdale Austin, Texas",30.20418579999999,-97.8301877
253,"El Dorado Drive And El Rey Austin, Texas",30.2214482,-97.9026592
254,"Bolm Road Austin, Texas",30.2574701,-97.688861
255,"Coyote Trail And Crossbow Trail Austin, Texas",30.473716,-97.989217
256,"William Cannon And Woodhue Austin, Texas",30.200311,-97.7988317
257,"6806 Montana St Austin, Texas",30.2305333,-97.69332879999999
258,"4634 Westgate Blvd Austin, Texas",30.2293156,-97.80153109999999
259,"2900 S Pleasant Valley Rd Austin, Texas",30.223869,-97.730499
260,"Parmer Lane And Old Highway 20 Austin, Texas",30.341677,-97.57894979999999
261,"1901 National Park Boulevard Austin, Texas",30.1545461,-97.78900449999999
262,"1301 Crossing Place #512 Austin, Texas",30.2353162,-97.71076219999999
263,"Winter Haven And Walkup Austin, Texas",30.1507045,-97.74027570000001
264,"6400 Fm 969 Austin, Texas",30.2852936,-97.65977029999999
265,"1801 Wells Branch Pkwy Austin, Texas",30.4329716,-97.674099
266,"8128 N Ih 35 Austin, Texas",30.3444048,-97.69776069999999
267,"Outside Jurisdiction Austin, Texas",30.267153,-97.7430608
268,"4812 Spring Meadow Cv Austin, Texas",30.195582,-97.7329074
269,"6211 W William Cannon Dr Austin, Texas",30.2303642,-97.86540029999999
270,"5300 Tx-71 Austin, Texas",30.2355015,-97.85709279999999
271,"14326 Hunters Bend Road Austin, Texas",30.2449917,-97.58298339999999
272,"16400 Terrace Dr Austin, Texas",30.4748312,-97.6869148
273,"6305 Cameron Austin, Texas",30.3205232,-97.69524779999999
274,"14308 Fm 812 Austin, Texas",30.1173944,-97.62933919999999
275,"9704 Carson Creek Blvd Austin, Texas",30.2229639,-97.66520679999999
276,"3006 Royster Austin, Texas",30.267153,-97.7430608
277,"5816 Van Winkle Austin, Texas",30.19435219999999,-97.88208829999999
278,"1548 Farm To Market 685 Austin, Texas",30.4531157,-97.6060353
279,"Quicksilver And Bluff Springs Austin, Texas",30.1725823,-97.768618
280,"408 Parrot Tulip Vw Austin, Texas",30.4222036,-97.6521619
281,"7601 Dixie Drive Austin, Texas",30.1647997,-97.7437922
282,"Chantsong Ct Austin, Texas",30.2826079,-97.62707
283,"7709 San Felipe Blvd Austin, Texas",30.4369834,-97.7675972
284,"613 Amesbury Austin, Texas",30.3413339,-97.7137728
285,"Springdale Road And Airport Boulevard Austin, Texas",30.2655736,-97.6955164
286,"6818 Thistle Hill Austin, Texas",30.3501181,-97.6109558
287,"Travis (TX) Austin, Texas",30.267153,-97.7430608
288,"2407 Allred Dr Austin, Texas",30.1740878,-97.82997519999999
289,"11402 James Haller Drive Austin, Texas",30.1519858,-97.8278507
290,"409 Black Son Ave Austin, Texas",30.3365917,-97.70613739999999
291,"6906 Burnell Dr Austin, Texas",30.3182198,-97.6706437
292,"1908 Albury Cv Austin, Texas",30.3998742,-97.70276539999999
293,"1006 Banister Ln Austin, Texas",30.2310222,-97.77378189999999
294,"1100 W Cesar Chavez St Austin, Texas",30.2689942,-97.756992
295,"1304 West Lakeland Austin, Texas",30.33272879999999,-97.92849500000001
296,"3205 Cupid Drive Austin, Texas",30.2376294,-97.80652409999999
297,"15112 Mimebark Way Austin, Texas",30.2560447,-97.5785799
298,"12001 Dessau Rd Austin, Texas",30.3782801,-97.6513494
299,"Mckinney Falls And 183 Austin, Texas",30.1983853,-97.68424879999999
300,"18901 Hamilton Pool Rd Austin, Texas",30.2864406,-98.0656039
301,"45Th St At Lamar Boulevard Austin, Texas",30.3134234,-97.7374995
302,"10701 Mule Trl Austin, Texas",30.267153,-97.7430608
303,"800 E Rundberg Ln Austin, Texas",30.3579348,-97.6874687
304,"11605 North Lamar Austin, Texas",30.3849679,-97.68425390000002
305,"421 Thompson Lane Austin, Texas",30.2385129,-97.6823776
306,"Blue Meadow And Bluff Springs Austin, Texas",30.183624,-97.76896389999999
307,"Sedona Austin, Texas",30.3970563,-97.7654837
308,"7619 Scenic Brook Austin, Texas",30.2357386,-97.89701509999999
309,"Thannas Way Austin, Texas",30.1780376,-97.758272
310,"5110 Regency Dr Austin, Texas",30.2868476,-97.66114789999999
311,"6937 N Ih 35 Austin, Texas",30.331041,-97.7040339
312,"7201 Leavender Loop Austin, Texas",30.2527847,-97.6904186
313,"8027 Elroy Rd Austin, Texas",30.1384693,-97.61428099999999
314,"18805 Golddust Pass Austin, Texas",30.4599348,-97.5837032
315,"5601 Brodie Ln Austin, Texas",30.2264721,-97.82084019999999
316,"5408 Lark Creek Drive Austin, Texas",30.1948767,-97.7349866
317,"Jollyville And Braker Ln Austin, Texas",30.4007625,-97.748853
318,"Airport Blvd And Higgins St Austin, Texas",30.28319159999999,-97.704414
319,"Dittmar& S. 1St Austin, Texas",30.1838742,-97.79268479999999
320,"5408 Lark Creek Austin, Texas",30.1948767,-97.7349866
321,"6701 Bryn Mawr Austin, Texas",30.3130182,-97.6715341
322,"East 45Th Street And Duval Street Austin, Texas",30.3070066,-97.72458929999999
323,"1730 East Oltorf Street Austin, Texas",30.23373699999999,-97.737663
324,"Blue Meadow Dr & Branchwood D Austin, Texas",30.1800259,-97.7598022
325,"14406 Tiffer Ln Austin, Texas",30.4422444,-97.68565319999999
326,"Highway 71 And Ross Road Austin, Texas",30.1864188,-97.60953789999999
327,"14906 Zurick Drive Austin, Texas",30.130229,-97.61178179999999
328,"7259 Wardman Drive Austin, Texas",30.1548414,-97.6457623
329,"Cuernavaca Dr. & Tartar Way Austin, Texas",30.3403491,-97.86340170000001
330,"5608 Peppertree Pkwy Austin, Texas",30.1942214,-97.75289599999999
331,"3108 Windsor Road Austin, Texas",30.2965875,-97.7676557
332,"Ben White And Montopolis Austin, Texas",30.2119914,-97.7126316
